Struthio camelus,Ostrich,TC000001
Pygoscelis adeliae,Adelie Penguin,TC000720
Pygoscelis papua,Gentoo Penguin,TC000721
Pygoscelis antarcticus,Chinstrap Penguin,TC000722
Megadyptes antipodes,Yellow-eyed Penguin,TC000723
Eudyptula minor,Little Penguin,TC000724
Spheniscus demersus,Jackass Penguin,TC000725
Spheniscus humboldti,Humboldt Penguin,TC000726
Spheniscus mendiculus,Galapagos Penguin,TC000727
Spheniscus magellanicus,Magellanic Penguin,TC000728
Eudyptes pachyrhynchus,Fiordland Penguin,TC000729
Eudyptes sclateri,Erect-crested Penguin,TC000730
Eudyptes chrysolophus,Macaroni Penguin,TC000731
Eudyptes schlegeli,Royal Penguin,TC000732
Eudyptes chrysocome,Rockhopper Penguin,TC000733
Eudyptes moseleyi,Tristan Penguin,TC000736
Eudyptes robustus,Snares Penguin,TC000737
Thalassarche chlororhynchos,Yellow-nosed Albatross,TC000739
Thalassarche chrysostoma,Gray-headed Albatross,TC000742
Thalassarche bulleri,Buller's Albatross,TC000743
Thalassarche cauta,White-capped Albatross,TC000744
Thalassarche salvini,Salvin's Albatross,TC000745
Thalassarche eremita,Chatham Albatross,TC000746
Thalassarche melanophris,Black-browed Albatross,TC000748
Phoebetria fusca,Sooty Albatross,TC000752
Phoebetria palpebrata,Light-mantled Albatross,TC000753
Diomedea epomophora,Royal Albatross,TC000754
Diomedea exulans,Wandering Albatross,TC000757
Phoebastria irrorata,Waved Albatross,TC000764
Phoebastria immutabilis,Laysan Albatross,TC000765
Phoebastria nigripes,Black-footed Albatross,TC000767
Phoebastria albatrus,Short-tailed Albatross,TC000768
Macronectes giganteus,Southern Giant-Petrel,TC000769
Macronectes halli,Northern Giant-Petrel,TC000770
Fulmarus glacialis,Northern Fulmar,TC000772
Fulmarus glacialoides,Southern Fulmar,TC000776
Thalassoica antarctica,Antarctic Petrel,TC000777
Daption capense,Cape Petrel,TC000778
Pagodroma nivea,Snow Petrel,TC000779
Aphrodroma brevirostris,Kerguelen Petrel,TC000782
Pterodroma macroptera,Great-winged Petrel,TC000783
Pterodroma neglecta,Kermadec Petrel,TC000786
Pterodroma magentae,Magenta Petrel,TC000787
Pterodroma arminjoniana,Herald Petrel,TC000788
Pterodroma ultima,Murphy's Petrel,TC000791
Pterodroma solandri,Providence Petrel,TC000792
Pterodroma atrata,Henderson Petrel,TC000793
Pterodroma madeira,Zino's Petrel,TC000794
Pterodroma feae,Fea's Petrel,TC000795
Pterodroma mollis,Soft-plumaged Petrel,TC000797
Pterodroma baraui,Barau's Petrel,TC000798
Pterodroma lessonii,White-headed Petrel,TC000802
Pterodroma inexpectata,Mottled Petrel,TC000803
Pterodroma cahow,Bermuda Petrel,TC000804
Pterodroma hasitata,Black-capped Petrel,TC000805
Pterodroma externa,Juan Fernandez Petrel,TC000808
Pterodroma incerta,Atlantic Petrel,TC000809
Pterodroma phaeopygia,Galapagos Petrel,TC000810
Pterodroma sandwichensis,Hawaiian Petrel,TC000811
Pterodroma cervicalis,White-necked Petrel,TC000813
Pterodroma hypoleuca,Bonin Petrel,TC000814
Pterodroma nigripennis,Black-winged Petrel,TC000815
Pterodroma axillaris,Chatham Petrel,TC000816
Pterodroma cookii,Cook's Petrel,TC000817
Pterodroma defilippiana,Masatierra Petrel,TC000818
Pterodroma leucoptera,Gould's Petrel,TC000819
Pterodroma brevipes,Collared Petrel,TC013260
Pterodroma longirostris,Stejneger's Petrel,TC000823
Pterodroma pycrofti,Pycroft's Petrel,TC000824
Pterodroma alba,Phoenix Petrel,TC000826
Pterodroma occulta,Vanuatu Petrel,TC000827
Halobaena caerulea,Blue Petrel,TC000829
Pachyptila turtur,Fairy Prion,TC000830
Pachyptila vittata,Broad-billed Prion,TC000831
Pachyptila salvini,Salvin's Prion,TC000832
Pachyptila desolata,Antarctic Prion,TC000833
Pachyptila belcheri,Slender-billed Prion,TC000834
Pachyptila crassirostris,Fulmar Prion,TC000835
Bulweria bulwerii,Bulwer's Petrel,TC000837
Bulweria fallax,Jouanin's Petrel,TC000838
Pseudobulweria macgillivrayi,Fiji Petrel,TC000825
Pseudobulweria aterrima,Mascarene Petrel,TC000799
Pseudobulweria rostrata,Tahiti Petrel,TC000800
Pseudobulweria becki,Beck's Petrel,TC000801
Procellaria cinerea,Gray Petrel,TC000839
Procellaria aequinoctialis,White-chinned Petrel,TC000840
Procellaria conspicillata,Spectacled Petrel,TC000841
Procellaria parkinsoni,Parkinson's Petrel,TC000842
Procellaria westlandica,Westland Petrel,TC000843
Calonectris leucomelas,Streaked Shearwater,TC000845
Calonectris diomedea,Cory's Shearwater,TC000846
Calonectris edwardsii,Cape Verde Shearwater,TC000849
Puffinus creatopus,Pink-footed Shearwater,TC000850
Puffinus carneipes,Flesh-footed Shearwater,TC000851
Puffinus gravis,Great Shearwater,TC000852
Puffinus pacificus,Wedge-tailed Shearwater,TC000854
Puffinus bulleri,Buller's Shearwater,TC000855
Puffinus griseus,Sooty Shearwater,TC000856
Puffinus tenuirostris,Short-tailed Shearwater,TC000857
Puffinus nativitatis,Christmas Shearwater,TC000859
Puffinus subalaris,Galapagos Shearwater,TC000860
Puffinus puffinus,Manx Shearwater,TC000861
Puffinus yelkouan,Levantine Shearwater,TC000862
Puffinus mauretanicus,Balearic Shearwater,TC000863
Puffinus huttoni,Hutton's Shearwater,TC000865
Puffinus auricularis,Townsend's Shearwater,TC000866
Puffinus bryani,Bryan's Shearwater,TC013265
Puffinus opisthomelas,Black-vented Shearwater,TC000870
Puffinus gavia,Fluttering Shearwater,TC000871
Puffinus assimilis,Little Shearwater,TC000872
Puffinus baroli,Barolo Shearwater,TC000878
Puffinus boydi,Boyd's Shearwater,TC000879
Puffinus lherminieri,Audubon's Shearwater,TC000880
Puffinus bailloni,Tropical Shearwater,TC000881
Puffinus persicus,Persian Shearwater,TC000885
Puffinus heinrothi,Heinroth's Shearwater,TC000886
Oceanites oceanicus,Wilson's Storm-Petrel,TC000890
Oceanites pincoyae,Pincoya Storm-Petrel,TC000891
Oceanites gracilis,Elliot's Storm-Petrel,TC000892
Garrodia nereis,Gray-backed Storm-Petrel,TC000895
Pelagodroma marina,White-faced Storm-Petrel,TC000896
Hydrobates pelagicus,European Storm-Petrel,TC000897
Fregetta grallaria,White-bellied Storm-Petrel,TC000900
Fregetta maoriana,New Zealand Storm-Petrel,TC000893
Fregetta tropica,Black-bellied Storm-Petrel,TC000903
Nesofregetta fuliginosa,Polynesian Storm-Petrel,TC000904
Oceanodroma furcata,Fork-tailed Storm-Petrel,TC000905
Oceanodroma hornbyi,Ringed Storm-Petrel,TC000906
Oceanodroma leucorhoa,Leach's Storm-Petrel,TC000907
Oceanodroma monorhis,Swinhoe's Storm-Petrel,TC000913
Oceanodroma homochroa,Ashy Storm-Petrel,TC000914
Oceanodroma castro,Band-rumped Storm-Petrel,TC000915
Oceanodroma monteiroi,Monteiro's Storm-Petrel,TC000916
Oceanodroma jabejabe,Cape Verde Storm-Petrel,TC000917
Oceanodroma tethys,Wedge-rumped Storm-Petrel,TC000919
Oceanodroma melania,Black Storm-Petrel,TC000920
Oceanodroma macrodactyla,Guadalupe Storm-Petrel,TC000921
Oceanodroma markhami,Markham's Storm-Petrel,TC000922
Oceanodroma matsudairae,Matsudaira's Storm-Petrel,TC000923
Oceanodroma tristrami,Tristram's Storm-Petrel,TC000924
Oceanodroma microsoma,Least Storm-Petrel,TC000925
Pelecanoides garnotii,Peruvian Diving-Petrel,TC000930
Pelecanoides urinatrix,Common Diving-Petrel,TC000931
Pelecanoides georgicus,South Georgia Diving-Petrel,TC000932
Pelecanoides magellani,Magellanic Diving-Petrel,TC000933
Phaethon lepturus,White-tailed Tropicbird,TC000935
Phaethon aethereus,Red-billed Tropicbird,TC000939
Phaethon rubricauda,Red-tailed Tropicbird,TC000940
Anastomus oscitans,Asian Openbill,TC000943
Anastomus lamelligerus,African Openbill,TC000944
Ciconia nigra,Black Stork,TC000945
Ciconia abdimii,Abdim's Stork,TC000946
Ciconia episcopus,Woolly-necked Stork,TC000947
Ciconia stormi,Storm's Stork,TC000948
Ciconia maguari,Maguari Stork,TC000949
Ciconia ciconia,White Stork,TC000950
Ciconia boyciana,Oriental Stork,TC000951
Ephippiorhynchus asiaticus,Black-necked Stork,TC000953
Ephippiorhynchus senegalensis,Saddle-billed Stork,TC000954
Jabiru mycteria,Jabiru,TC000955
Leptoptilos javanicus,Lesser Adjutant,TC000956
Leptoptilos crumenifer,Marabou Stork,TC000957
Leptoptilos dubius,Greater Adjutant,TC000958
Mycteria americana,Wood Stork,TC000959
Mycteria cinerea,Milky Stork,TC000960
Mycteria ibis,Yellow-billed Stork,TC000961
Mycteria leucocephala,Painted Stork,TC000962
Fregata aquila,Ascension Island Frigatebird,TC000963
Fregata andrewsi,Christmas Island Frigatebird,TC000964
Fregata magnificens,Magnificent Frigatebird,TC000965
Fregata minor,Great Frigatebird,TC000966
Fregata ariel,Lesser Frigatebird,TC000967
Sula dactylatra,Masked Booby,TC000969
Sula granti,Nazca Booby,TC000970
Sula nebouxii,Blue-footed Booby,TC000972
Sula variegata,Peruvian Booby,TC000973
Sula leucogaster,Brown Booby,TC000974
Sula sula,Red-footed Booby,TC000979
Papasula abbotti,Abbott's Booby,TC000984
Morus bassanus,Northern Gannet,TC000985
Morus capensis,Cape Gannet,TC000986
Morus serrator,Australasian Gannet,TC000987
Phalacrocorax sulcirostris,Little Black Cormorant,TC000989
Phalacrocorax harrisi,Flightless Cormorant,TC000990
Phalacrocorax perspicillatus,Pallas's Cormorant,TC000991
Phalacrocorax penicillatus,Brandt's Cormorant,TC000992
Phalacrocorax brasilianus,Neotropic Cormorant,TC000993
Phalacrocorax auritus,Double-crested Cormorant,TC000994
Phalacrocorax fuscicollis,Indian Cormorant,TC000997
Phalacrocorax carbo,Great Cormorant,TC000998
Phalacrocorax capensis,Cape Cormorant,TC001004
Phalacrocorax nigrogularis,Socotra Cormorant,TC001005
Phalacrocorax neglectus,Bank Cormorant,TC001006
Phalacrocorax capillatus,Japanese Cormorant,TC001007
Phalacrocorax urile,Red-faced Cormorant,TC001008
Phalacrocorax pelagicus,Pelagic Cormorant,TC001009
Phalacrocorax gaimardi,Red-legged Cormorant,TC001010
Phalacrocorax magellanicus,Magellanic Cormorant,TC001011
Phalacrocorax bougainvillii,Guanay Cormorant,TC001012
Phalacrocorax varius,Pied Cormorant,TC001013
Phalacrocorax fuscescens,Black-faced Cormorant,TC001014
Phalacrocorax carunculatus,Rough-faced Shag,TC001015
Phalacrocorax chalconotus,Bronze Shag,TC001016
Phalacrocorax onslowi,Chatham Islands Shag,TC001017
Phalacrocorax colensoi,Auckland Islands Shag,TC001018
Phalacrocorax campbelli,Campbell Islands Shag,TC001019
Phalacrocorax ranfurlyi,Bounty Islands Shag,TC001020
Phalacrocorax bransfieldensis,Antarctic Shag,TC001021
Phalacrocorax georgianus,South Georgia Shag,TC001022
Phalacrocorax atriceps,Imperial Cormorant,TC001023
Phalacrocorax nivalis,Heard Island Shag,TC001026
Phalacrocorax melanogenis,Crozet Shag,TC001027
Phalacrocorax verrucosus,Kerguelen Shag,TC001028
Phalacrocorax purpurascens,Macquarie Shag,TC001029
Phalacrocorax aristotelis,European Shag,TC001030
Phalacrocorax punctatus,Spotted Shag,TC001034
Phalacrocorax featherstoni,Pitt Island Shag,TC001035
Phalacrocorax melanoleucos,Little Pied Cormorant,TC001036
Phalacrocorax africanus,Long-tailed Cormorant,TC001037
Phalacrocorax coronatus,Crowned Cormorant,TC001038
Phalacrocorax niger,Little Cormorant,TC001039
Phalacrocorax pygmaeus,Pygmy Cormorant,TC001040
Anhinga anhinga,Anhinga,TC001042
Anhinga rufa,African Darter,TC001043
Anhinga melanogaster,Oriental Darter,TC001044
Anhinga novaehollandiae,Australasian Darter,TC001045
Pelecanus onocrotalus,Great White Pelican,TC001046
Pelecanus rufescens,Pink-backed Pelican,TC001047
Pelecanus philippensis,Spot-billed Pelican,TC001048
Pelecanus crispus,Dalmatian Pelican,TC001049
Pelecanus conspicillatus,Australian Pelican,TC001050
Pelecanus erythrorhynchos,American White Pelican,TC001051
Pelecanus occidentalis,Brown Pelican,TC001052
Pelecanus thagus,Peruvian Pelican,TC001056
Balaeniceps rex,Shoebill,TC001057
Scopus umbretta,Hamerkop,TC001058
Botaurus pinnatus,Pinnated Bittern,TC001059
Botaurus lentiginosus,American Bittern,TC001060
Botaurus stellaris,Great Bittern,TC001061
Botaurus poiciloptilus,Australasian Bittern,TC001062
Zebrilus undulatus,Zigzag Heron,TC001063
Ixobrychus sinensis,Yellow Bittern,TC001064
Ixobrychus minutus,Little Bittern,TC001065
Ixobrychus dubius,Black-backed Bittern,TC001066
Ixobrychus novaezelandiae,New Zealand Bittern,TC001067
Ixobrychus eurhythmus,Schrenck's Bittern,TC001068
Ixobrychus cinnamomeus,Cinnamon Bittern,TC001069
Ixobrychus sturmii,Dwarf Bittern,TC001070
Ixobrychus flavicollis,Black Bittern,TC001071
Ixobrychus exilis,Least Bittern,TC001072
Ixobrychus involucris,Stripe-backed Bittern,TC001073
Tigrisoma lineatum,Rufescent Tiger-Heron,TC001074
Tigrisoma fasciatum,Fasciated Tiger-Heron,TC001075
Tigrisoma mexicanum,Bare-throated Tiger-Heron,TC001076
Zonerodius heliosylus,Forest Bittern,TC001077
Tigriornis leucolopha,White-crested Bittern,TC001078
Ardea herodias,Great Blue Heron,TC001079
Ardea cinerea,Gray Heron,TC001083
Ardea cocoi,Cocoi Heron,TC001086
Ardea pacifica,Pacific Heron,TC001087
Ardea melanocephala,Black-headed Heron,TC001088
Ardea humbloti,Humblot's Heron,TC001089
Ardea insignis,White-bellied Heron,TC001090
Ardea sumatrana,Great-billed Heron,TC001091
Ardea goliath,Goliath Heron,TC001092
Ardea purpurea,Purple Heron,TC001093
Ardea alba,Great Egret,TC001094
Mesophoyx intermedia,Intermediate Egret,TC001100
Egretta novaehollandiae,White-faced Heron,TC001101
Egretta eulophotes,Chinese Egret,TC001102
Egretta garzetta,Little Egret,TC001103
Egretta gularis,Western Reef-Heron,TC001106
Egretta sacra,Pacific Reef-Heron,TC001109
Egretta thula,Snowy Egret,TC001110
Egretta caerulea,Little Blue Heron,TC001112
Egretta tricolor,Tricolored Heron,TC001113
Egretta rufescens,Reddish Egret,TC001114
Egretta picata,Pied Heron,TC001115
Egretta vinaceigula,Slaty Egret,TC001116
Egretta ardesiaca,Black Heron,TC001117
Bubulcus ibis,Cattle Egret,TC001118
Ardeola ralloides,Squacco Heron,TC001123
Ardeola grayii,Indian Pond-Heron,TC001124
Ardeola bacchus,Chinese Pond-Heron,TC001125
Ardeola speciosa,Javan Pond-Heron,TC001126
Ardeola idae,Madagascar Pond-Heron,TC001127
Ardeola rufiventris,Rufous-bellied Heron,TC001128
Butorides virescens,Green Heron,TC001130
Butorides striata,Striated Heron,TC001134
Agamia agami,Agami Heron,TC001137
Syrigma sibilatrix,Whistling Heron,TC001138
Pilherodius pileatus,Capped Heron,TC001139
Nycticorax nycticorax,Black-crowned Night-Heron,TC001140
Nycticorax caledonicus,Rufous Night-Heron,TC001145
Nyctanassa violacea,Yellow-crowned Night-Heron,TC001146
Gorsachius leuconotus,White-backed Night-Heron,TC001148
Gorsachius magnificus,White-eared Night-Heron,TC001149
Gorsachius goisagi,Japanese Night-Heron,TC001150
Gorsachius melanolophus,Malayan Night-Heron,TC001151
Cochlearius cochlearius,Boat-billed Heron,TC001152
Eudocimus albus,White Ibis,TC001156
Eudocimus ruber,Scarlet Ibis,TC001158
Plegadis falcinellus,Glossy Ibis,TC001159
Plegadis chihi,White-faced Ibis,TC001161
Plegadis ridgwayi,Puna Ibis,TC001162
Lophotibis cristata,Madagascar Ibis,TC001164
Cercibis oxycerca,Sharp-tailed Ibis,TC001165
Mesembrinibis cayennensis,Green Ibis,TC001166
Phimosus infuscatus,Bare-faced Ibis,TC001167
Theristicus caerulescens,Plumbeous Ibis,TC001168
Theristicus caudatus,Buff-necked Ibis,TC001169
Theristicus melanopis,Black-faced Ibis,TC001170
Threskiornis aethiopicus,Sacred Ibis,TC001173
Threskiornis melanocephalus,Black-headed Ibis,TC001174
Threskiornis moluccus,Australian Ibis,TC001175
Threskiornis spinicollis,Straw-necked Ibis,TC001176
Pseudibis papillosa,Red-naped Ibis,TC001177
Pseudibis davisoni,White-shouldered Ibis,TC001178
Pseudibis gigantea,Giant Ibis,TC001179
Geronticus eremita,Waldrapp,TC001180
Geronticus calvus,Bald Ibis,TC001181
Nipponia nippon,Crested Ibis,TC001182
Bostrychia olivacea,Olive Ibis,TC001183
Bostrychia rara,Spot-breasted Ibis,TC001184
Bostrychia hagedash,Hadada Ibis,TC001185
Bostrychia carunculata,Wattled Ibis,TC001186
Platalea leucorodia,Eurasian Spoonbill,TC001187
Platalea regia,Royal Spoonbill,TC001188
Platalea alba,African Spoonbill,TC001189
Platalea minor,Black-faced Spoonbill,TC001190
Platalea flavipes,Yellow-billed Spoonbill,TC001191
Platalea ajaja,Roseate Spoonbill,TC001192
Coragyps atratus,Black Vulture,TC001193
Cathartes aura,Turkey Vulture,TC001194
Cathartes burrovianus,Lesser Yellow-headed Vulture,TC001198
Cathartes melambrotus,Greater Yellow-headed Vulture,TC001199
Gymnogyps californianus,California Condor,TC001201
Vultur gryphus,Andean Condor,TC001202
Sarcoramphus papa,King Vulture,TC001203
Sagittarius serpentarius,Secretary-bird,TC001524
Pandion haliaetus,Osprey,TC001205
Gampsonyx swainsonii,Pearl Kite,TC001234
Elanus caeruleus,Black-shouldered Kite,TC001235
Elanus axillaris,Australian Kite,TC001236
Elanus leucurus,White-tailed Kite,TC001237
Elanus scriptus,Letter-winged Kite,TC001238
Chelictinia riocourii,Scissor-tailed Kite,TC001239
Polyboroides typus,African Harrier-Hawk,TC001319
Polyboroides radiatus,Madagascar Harrier-Hawk,TC001320
Gypohierax angolensis,Palm-nut Vulture,TC001266
Eutriorchis astur,Madagascar Serpent-Eagle,TC001298
Gypaetus barbatus,Lammergeier,TC001268
Neophron percnopterus,Egyptian Vulture,TC001269
Chondrohierax uncinatus,Hook-billed Kite,TC001217
Leptodon cayanensis,Gray-headed Kite,TC001215
Leptodon forbesi,White-collared Kite,TC001216
Henicopernis longicauda,Long-tailed Honey-buzzard,TC001221
Henicopernis infuscatus,Black Honey-buzzard,TC001222
Pernis apivorus,European Honey-buzzard,TC001223
Pernis celebensis,Barred Honey-buzzard,TC001224
Pernis ptilorhynchus,Oriental Honey-buzzard,TC001227
Elanoides forficatus,Swallow-tailed Kite,TC001232
Aviceda cuculoides,African Cuckoo-Hawk,TC001210
Aviceda madagascariensis,Madagascar Cuckoo-Hawk,TC001211
Aviceda jerdoni,Jerdon's Baza,TC001212
Aviceda subcristata,Pacific Baza,TC001213
Aviceda leuphotes,Black Baza,TC001214
Lophoictinia isura,Square-tailed Kite,TC001230
Hamirostra melanosternon,Black-breasted Kite,TC001231
Sarcogyps calvus,Red-headed Vulture,TC001283
Trigonoceps occipitalis,White-headed Vulture,TC001282
Aegypius monachus,Cinereous Vulture,TC001280
Torgos tracheliotus,Lappet-faced Vulture,TC001281
Necrosyrtes monachus,Hooded Vulture,TC001267
Gyps africanus,White-backed Vulture,TC001270
Gyps bengalensis,White-rumped Vulture,TC001271
Gyps indicus,Indian Vulture,TC001272
Gyps tenuirostris,Slender-billed Vulture,TC001273
Gyps rueppellii,Rueppell's Griffon,TC001274
Gyps himalayensis,Himalayan Griffon,TC001276
Gyps fulvus,Eurasian Griffon,TC001277
Gyps coprotheres,Cape Griffon,TC001278
Spilornis klossi,Nicobar Serpent-Eagle,TC001291
Spilornis rufipectus,Sulawesi Serpent-Eagle,TC001292
Spilornis kinabaluensis,Mountain Serpent-Eagle,TC001293
Spilornis cheela,Crested Serpent-Eagle,TC001294
Spilornis holospilus,Philippine Serpent-Eagle,TC001295
Spilornis elgini,Andaman Serpent-Eagle,TC001296
Pithecophaga jefferyi,Great Philippine Eagle,TC001486
Terathopius ecaudatus,Bateleur,TC001290
Dryotriorchis spectabilis,Congo Serpent-Eagle,TC001297
Circaetus gallicus,Short-toed Eagle,TC001284
Circaetus beaudouini,Beaudouin's Snake-Eagle,TC001285
Circaetus pectoralis,Black-breasted Snake-Eagle,TC001286
Circaetus cinereus,Brown Snake-Eagle,TC001287
Circaetus fasciolatus,Fasciated Snake-Eagle,TC001288
Circaetus cinerascens,Banded Snake-Eagle,TC001289
Macheiramphus alcinus,Bat Hawk,TC001233
Harpyopsis novaeguineae,New Guinea Eagle,TC001485
Morphnus guianensis,Crested Eagle,TC001483
Harpia harpyja,Harpy Eagle,TC001484
Stephanoaetus coronatus,Crowned Hawk-Eagle,TC001523
Nisaetus limnaeetus,Changeable Hawk-Eagle,TC001511
Nisaetus cirrhatus,Crested Hawk-Eagle,TC013425
Nisaetus floris,Flores Hawk-Eagle,TC001512
Nisaetus nipalensis,Mountain Hawk-Eagle,TC001513
Nisaetus kelaarti,Legge's Hawk-Eagle,TC012651
Nisaetus alboniger,Blyth's Hawk-Eagle,TC001514
Nisaetus bartelsi,Javan Hawk-Eagle,TC001515
Nisaetus lanceolatus,Sulawesi Hawk-Eagle,TC001516
Nisaetus philippensis,Philippine Hawk-Eagle,TC001517
Nisaetus pinskeri,Pinsker's Hawk-Eagle,TC012686
Nisaetus nanus,Wallace's Hawk-Eagle,TC001518
Polemaetus bellicosus,Martial Eagle,TC001509
Lophotriorchis kienerii,Rufous-bellied Eagle,TC001507
Spizaetus tyrannus,Black Hawk-Eagle,TC001519
